"zoneCode","item","date","fQ","median","mean","tQ","minY","maxY"
2,"Sorghum",2010-12-01,14.232578754425,16.0263180732727,22.630405494145,33.8873424530029,9,14
2,"Sorghum",2011-06-01,12.5499320030212,17.7495365142822,30.5126235485077,53.2603235244751,9,14
2,"Sorghum",2011-12-01,14.4206087589264,24.8406553268433,35.1595878601074,52.8834629058838,9,14
2,"Sorghum",2012-06-01,23.3470425605774,25.864764213562,26.1815129915873,27.3555302619934,9,14
2,"Sorghum",2012-12-01,17.4534711837769,21.0691604614258,24.0917461259024,31.4676117897034,9,14
3,"Cement Dangote",2009-12-01,2.942049741745,4.44216823577881,6.60014210487234,6.72713279724121,17,21
3,"Cement Dangote",2010-06-01,3.05756187438965,4.12814378738403,4.50929179532187,5.44545829296112,17,21
3,"Cement Dangote",2010-12-01,3.68982428312302,4.37908864021301,4.58929204579556,4.56833851337433,17,21
3,"Cement Dangote",2011-06-01,7.23858141899109,8.20294690132141,15.4172736167908,9.59102344512939,17,21
3,"Cement Dangote",2011-12-01,7.6679790019989,7.7449734210968,15.2241181850433,7.92915391921997,17,21
3,"Cement Dangote",2012-06-01,4.69070243835449,4.94025182723999,5.10325222015381,5.76477336883545,17,21
3,"Cement Dangote",2012-12-01,5.1807267665863,5.60945701599121,11.1365115859292,8.20956587791443,17,21
3,"Drink Swan Water Bottle",2009-12-01,3.57862198352814,11.2167339324951,14.4351242542267,18.593563079834,17,21
3,"Drink Swan Water Bottle",2010-06-01,8.23592042922974,15.2737398147583,16.279984342291,24.6841230392456,17,21
3,"Drink Swan Water Bottle",2010-12-01,8.25822877883911,12.5744285583496,15.5109456638957,20.1848077774048,17,21
3,"Drink Swan Water Bottle",2011-06-01,13.297935962677,15.7920680046082,15.0598164558411,17.6401143074036,17,21
3,"Drink Swan Water Bottle",2011-12-01,11.8359308242798,14.6053738594055,15.0265347480774,16.3663167953491,17,21
3,"Drink Swan Water Bottle",2012-06-01,8.35474109649658,9.15347385406494,12.5289974212646,16.2818927764893,17,21
3,"Drink Swan Water Bottle",2012-12-01,7.77118468284607,8.87156867980957,9.85197578776966,10.3961534500122,17,21
3,"Maize White",2009-12-01,3.94908440113068,7.41808652877808,9.18851040403048,13.677056312561,17,21
3,"Maize White",2010-06-01,10.7957081794739,14.3436346054077,18.2081321538505,24.7548828125,17,21
3,"Maize White",2010-12-01,31.6362829208374,33.0206871032715,32.8460420246782,34.7617073059082,17,21
3,"Maize White",2011-06-01,27.2467088699341,30.1827545166016,30.001181082292,33.5958404541016,17,21
3,"Maize White",2011-12-01,19.3649787902832,19.9451999664307,29.253413273738,32.6477432250977,17,21
3,"Maize White",2012-06-01,20.9599857330322,32.6035003662109,44.65420850118,72.7952346801758,17,21
3,"Maize White",2012-12-01,11.364607334137,18.7038049697876,16.6509568350656,20.0423593521118,17,21
3,"Maize Yellow",2009-12-01,4.83013439178467,8.17980575561523,8.7019034465154,11.3065333366394,17,21
3,"Maize Yellow",2010-06-01,6.87968063354492,19.7008657455444,20.0929422542967,30.1417169570923,17,21
3,"Maize Yellow",2010-12-01,30.7757816314697,34.6248512268066,40.8624640013042,52.0609550476074,17,21
3,"Maize Yellow",2011-06-01,30.1261024475098,39.8639945983887,42.7145258903503,60.1515111923218,17,21
